frame,angle_deg,distance_cm
0,0.2,9.4
1,2.7,8.9
2,5.5,9.0
3,7.4,9.0
4,10.7,9.3
5,11.8,9.5
6,12.2,9.6
7,12.5,9.9
8,14.4,10.1
9,14.2,11.0
10,14.2,11.0
11,20.1,12.5
12,20.7,12.7
13,22.4,13.5
14,24.3,13.4
15,26.6,14.7
16,27.2,15.2
17,27.6,15.3
18,30.0,16.5
19,31.2,16.2
20,31.6,16.7
21,30.8,18.7
22,31.1,18.9
23,31.2,20.0
24,31.0,20.6
25,31.4,21.2
26,31.1,21.3
27,32.0,22.2
28,32.2,22.8
29,32.6,24.2
30,32.8,24.3
31,32.4,24.6
32,32.4,24.6
33,33.2,26.2
34,33.2,27.3
35,35.9,27.1
36,33.8,28.8
37,33.8,28.8
38,34.1,29.8
39,34.2,30.4
40,34.5,31.3
41,34.7,31.2
42,35.1,32.3
43,35.4,33.0
44,35.9,34.2
45,36.0,34.2
46,36.1,35.0
47,36.5,35.3
48,36.5,35.6
49,36.5,35.6
50,36.3,35.7
51,36.3,35.8
52,36.3,36.1
53,36.2,36.0
54,36.1,35.4
55,36.0,35.2
56,35.8,35.2
57,35.5,35.1
58,34.4,34.2
59,34.2,34.5
60,33.8,34.5
61,32.7,34.0
62,32.7,34.0
63,31.3,32.9
64,31.0,32.9
65,30.4,32.2
66,30.2,31.3
67,29.8,30.9
68,29.5,29.9
69,29.4,29.1
70,29.1,28.3
71,28.3,26.8
72,27.7,25.3
73,27.1,24.6
74,26.7,24.0
75,25.0,21.9
76,24.6,21.4
77,23.3,19.5
78,22.9,19.1
79,21.9,18.1
80,21.6,17.7
81,19.9,15.5
82,19.7,15.2
83,18.8,14.0
84,17.7,13.2
85,17.7,13.2
86,18.3,12.7
87,17.7,12.3
88,17.0,11.7
89,17.2,11.3
90,15.5,10.4
91,13.5,9.9
92,11.4,9.2
93,14.7,8.8
94,13.8,9.2
95,13.6,9.1
96,13.7,9.1
97,13.5,9.1
98,11.1,9.0
99,10.9,9.2
100,10.0,9.0
101,9.5,9.0
102,5.5,8.7
103,4.2,8.7
104,2.5,8.5
105,3.2,8.6
106,7.1,9.7
107,8.6,10.2
108,11.0,10.4
109,13.0,11.0
110,13.4,11.8
111,15.5,12.6
112,17.5,13.0
113,19.2,14.0
114,20.2,14.7
115,20.2,14.7
116,21.9,16.7
117,22.3,17.0
118,23.7,17.7
119,24.0,18.3
120,24.3,19.5
121,24.4,20.1
122,24.0,21.4
123,23.9,21.7
124,23.8,23.2
125,23.9,24.5
126,23.9,24.5
127,23.2,25.5
128,25.6,25.0
129,23.8,27.6
130,24.2,28.5
131,24.1,29.0
132,24.1,29.8
133,23.9,30.4
134,23.8,30.7
135,23.1,30.4
136,23.1,30.4
137,23.6,31.3
138,23.6,31.1
139,23.6,31.1
140,25.3,29.4
141,23.0,30.1
142,22.1,29.1
143,21.5,28.5
144,21.4,28.8
145,22.5,25.4
146,20.1,25.9
147,18.9,23.8
148,19.1,23.7
149,19.1,23.7
150,17.8,21.5
151,17.8,21.5
152,15.7,18.9
153,15.4,18.6
154,15.4,18.3
155,14.6,17.4
156,13.5,16.2
157,13.4,16.0
158,12.6,14.8
159,12.3,13.7
160,10.0,12.8
161,13.0,11.8
162,11.4,12.8
163,10.5,12.1
164,10.5,12.1
165,8.5,10.8
166,7.5,10.4
167,4.6,8.8
168,4.6,8.8
169,3.0,9.3
170,1.4,8.1
171,1.2,8.1
172,1.5,8.5
173,-0.4,8.5
174,-0.4,8.5
175,-0.6,8.6
176,-0.5,8.6
177,-0.3,8.9
178,-0.1,9.2
179,0.8,9.5
180,1.1,9.9
181,1.9,10.3
182,3.0,11.9
183,3.5,11.8
184,4.9,13.5
185,4.9,13.5
186,5.8,15.5
187,6.3,16.4
188,7.0,17.8
189,7.3,18.3
190,8.7,18.9
191,8.4,20.1
192,8.6,21.3
193,8.7,21.6
194,8.4,22.7
195,8.7,23.0
196,8.8,24.7
197,9.2,24.9
198,10.0,24.0
199,9.2,26.2
200,10.1,25.0
201,9.3,26.6
202,9.2,28.4
203,9.2,28.5
204,8.4,28.4
205,10.3,27.4
206,10.4,27.6
207,9.3,29.6
208,10.4,27.9
209,10.4,27.9
210,10.2,27.8
211,10.0,27.5
212,9.9,27.1
213,8.9,28.6
214,8.7,27.9
215,8.3,26.5
216,7.9,25.5
217,7.1,24.4
218,7.4,24.2
219,6.1,22.2
220,6.1,20.2
221,6.0,19.6
222,5.0,18.1
223,4.8,17.8
224,4.3,16.7
225,4.3,16.7
226,3.7,14.5
227,3.7,12.1
228,3.7,11.6
229,3.2,12.7
230,3.5,11.6
231,3.8,10.6
232,3.8,10.4
233,4.0,10.4
234,4.4,9.9
235,4.8,9.8
236,4.9,9.6
237,5.4,9.5
238,3.6,9.6
239,3.6,9.6
240,4.8,8.9
241,5.2,9.6
242,3.1,10.3
243,2.9,10.4
244,2.8,10.6
245,2.2,11.0
246,2.1,11.4
247,0.7,12.9
248,0.0,13.3
249,-1.3,14.3
250,-1.6,14.8
251,-2.2,16.1
252,-1.8,17.3
253,-1.0,17.9
254,-1.0,17.9
255,-0.6,20.4
256,-0.3,22.4
257,-0.3,23.0
258,-0.5,24.8
259,-0.9,25.1
260,-0.8,26.2
261,-0.8,26.2
262,-2.0,26.4
263,-3.0,28.8
264,-3.3,29.3
265,-3.3,30.0
266,-3.4,30.0
267,-3.5,29.8
268,-3.5,29.8
269,-3.4,29.5
270,-3.2,29.3
271,-3.5,29.0
272,-4.1,25.2
273,-4.7,25.3
274,-4.9,24.9
275,-5.6,23.3
276,-6.2,22.8
277,-7.3,20.7
278,-7.6,20.3
279,-8.6,19.6
280,-9.5,17.9
281,-9.9,17.5
282,-10.2,17.1
283,-10.7,13.6
284,-10.7,13.4
285,-12.2,13.5
286,-10.1,13.3
287,-9.8,12.6
288,-9.2,12.2
289,-10.4,11.0
290,-10.6,10.2
291,-10.0,10.2
292,-10.0,10.2
293,-10.2,9.8
294,-10.2,9.8
295,-10.8,9.0
296,-10.7,8.8
297,-12.6,9.0
298,-12.5,9.1
299,-13.1,9.1
300,-13.1,9.1
301,-13.2,9.2
302,-13.4,9.5
303,-13.4,9.5
304,-13.4,9.5
305,-13.4,10.2
306,-13.5,10.4
307,-13.5,10.4
308,-13.5,10.4
309,-12.7,12.0
310,-12.7,13.1
311,-12.5,13.8
312,-12.5,14.0
313,-12.4,14.2
314,-12.0,15.1
315,-11.9,15.8
316,-11.7,16.9
317,-11.3,17.3
318,-11.2,19.2
319,-12.1,19.1
320,-10.8,19.4
321,-10.4,22.6
322,-10.5,22.9
323,-10.6,23.3
324,-11.0,25.7
325,-11.2,27.3
326,-11.2,27.3
327,-11.9,28.3
328,-12.3,28.8
329,-12.3,29.7
330,-12.3,29.7
331,-12.7,29.7
332,-12.9,30.1
333,-13.2,30.1
334,-13.3,29.5
335,-13.1,29.0
336,-13.3,26.8
337,-13.3,26.1
338,-13.1,25.5
339,-12.9,24.0
340,-11.8,24.0
341,-11.8,24.0
342,-11.7,22.7
343,-11.6,20.5
344,-12.0,20.2
345,-13.9,17.8
346,-13.5,17.5
347,-14.4,16.4
348,-16.0,15.8
349,-16.6,15.1
350,-19.5,13.7
351,-16.8,13.8
352,-17.5,13.1
353,-17.5,13.1
354,-17.7,11.6
355,-17.6,11.5
356,-17.6,11.3
357,-17.3,10.1
358,-18.3,8.8
359,-18.1,8.5
360,-17.8,8.4
361,-15.3,8.5
362,-16.2,8.7
363,-16.4,8.7
364,-16.2,8.8
365,-16.2,8.8
366,-16.2,8.8
367,-17.0,8.6
368,-18.4,9.9
369,-18.4,9.9
370,-21.6,12.0
371,-23.4,13.3
372,-23.4,13.3
373,-25.4,15.0
374,-25.8,15.3
375,-27.1,16.7
376,-27.1,16.7
377,-27.1,16.7
378,-29.3,17.2
379,-28.5,18.3
380,-29.0,19.6
381,-28.7,20.6
382,-29.2,21.5
383,-29.4,21.8
384,-30.3,22.9
385,-29.8,23.8
386,-30.0,24.0
387,-30.8,25.7
388,-31.0,26.1
389,-31.5,26.9
390,-32.8,29.0
391,-32.8,29.0
392,-34.7,30.9
393,-35.2,31.8
394,-35.3,32.3
395,-35.8,33.3
396,-35.8,34.4
397,-36.3,34.7
398,-36.6,35.3
399,-36.7,35.8
400,-37.4,36.6
401,-37.6,36.6
